id	transcription	score
89	Children are not allowed to stay up late with their friends.	1
97	Children should not be allowed to leave their house without their parents' permission.	1
96	Children should not be allowed to stay out late with their friends.	1
90	Children should be left outside alone with their friends.	1
114	Children should not be allowed to stay out late with their friends.	1
112	Children should not be allowed to stay late or out with their friends.	1
98	Children should not be allowed to stay out late with their friends.	1
116	Children should not be allowed to stay out late with their friends.	1
104	Children should not be allowed to be outside late with their friends.	1
92	Children are not supposed to stay out late with their friends.	1
101	Children should not stay with their friends.	0
115	Children should not be allowed to stay out late with their friends.	1
135	Children should not be allowed to stay with their friends late.	1
91	Children should not be allowed to stay out late with their friends.	1
126	Children should not be allowed to stay out late with their friends.	1
102	Children should not be allowed to stay up late with their friends.	1
113	Children should not be allowed to stay out late with their friends.	1
86	Children should not be allowed to stay out late with their friends.	1
88	Children should not be allowed to stay up late with their friends.	1
75	Children should not be allowed to stay up late with their friends.	1
73	Children must not be allowed to stay up late with their friends.	1
137	Children should not be allowed to stay late with their friends.	1
139	"Children should not stay out late with their friends, should not be allowed to stay out late with their friends."	1
124	Children should not be allowed to stay up late with their friends.	1
132	Children should not be stay- should not stay out with their friends like-	0
103	Children should not be allowed to stay out late with their friends.	1
128	Children should not be allowed to stay out late with their friends.	1
110	Children should not be allowed to stay late with their friends.	1
107	Children should not be allowed to stay out late with their friends.	1
121	Children should not be allowed to stay out late with their friends.	1
99	Children should not be allowed to stay up late with their friends.	1
141	Children should not be allowed to stay out lately with their friends.	1
143	Children should not be allowed to stay out late with their friends.	1
145	Children should not be allowed to stay out late with their friends.	1
148	Children shouldn't be allowed to be out late with his friends.	1
152	Children should not be allowed to stay out late with their friends.	1
157	Children should not be allowed to stay out late with their friends.	1
158	Children should not be allowed to stay out late with their friends.	1
144	Children should not be allowed to stay at night with their friends.	1
153	Children should not be allowed to stay out late with their friends.	1
162	Children should not be allowed to stay late night with their friends.	1
151	Children should not be allowed to stay out late with their friends.	1
154	Children should not stay up late with their friends.	0
106	Children should not be allowed to stay out late with their friends.	1
155	Yeah. Bye bye. Bye bye.	0
111	Children should not allow to stay out late with their friends.	0
159	Children should not be allowed to stay out late with friends.	1
170	Children should not allow to stay out late with dear friends.	0
160	Children are not allowed to stay up late with their friends.	1
168	Children's movies should not be allowed outside with their friends.	1
129	Children should not be allowed to stay late with their friends.	1
172	Chaojun should not allow to stay late with his friends.	0
173	Children should not be allowed to stay out late with their friends.	1
169	Children should not be allowed to stay late with their friends.	1
131	Children should not be allowed to stay out late with their friends.	1
150	Children should not be allowed to stay out with their friends.	1
130	Children should not be allowed to stay out late with their friends.	1
174	Children should not be allowed to stay out late with their friends.	1
166	Students should always know don't be late to stay with different friends.	0
165	Children should not be allowed to stay out late with their friends.	1
176	Children should not be allowed to stay out late for their friends.	1
175	Children should not be allowed to stay late with their friends.	1
189	Children should not be allowed to be outlaid from their friends.	1
194	Children's Shenand ____________	0
181	Students should not be allowed to stay out late with their friends.	1
193	"Children should not stay away with his friend or her friend, they are very nice."	0
203	Children are not allowed to stay out late without their parents.	1
197	Children should not be allowed to stay out late with their friends.	1
198	Children should not be allowed to stay out late just with their friends.	1
195	Children shouldn't be able to stay out with their friends.	0
183	Children should not be allowed to stay up late with their friends.	1
187	Children should not be allowed to stay out late with their friends.	1
178	Children should not be allowed to stay early with their friends.	1
179	Children should not be allowed to stay out late with their friends.	1
205	Children should not go out with their friends.	0
180	Children should not be allowed to stay out late with their friends.	1
186	"Children, they are not allowed to be until late with their friends."	1
211	Children should not be allowed to stay out late with their friends. Stay out late with your friends.	1
209	Children are not allowed to stay up late with their friends.	1
204	Children are not allowed to go out at night.	1
212	Children should not be allowed to stay out late with their friends.	1
199	Children should not be allowed to stay late with their friends.	1
213	Children should not be allowed to stay up late with their friends.	1
214	Children should not be allowed to stay out late with their friends.	1
215	Children should not be allowed to stay out late with their friends.	1
216	Children should not be allowed to live there.	1
